time_s,fusion_absolute_error_cm,model1_fixed_absolute_error_cm,model2_fixed_absolute_error_cm
18.350000000000005,2.8645287815532843,4.866413814595772,1.0190951613947312
18.450000000000003,2.8066438641717024,4.568711829860281,1.1524911307380734
18.550000000000004,2.75524426232507,4.270441812605313,1.4940946565778603
18.650000000000006,2.711642536906951,3.980661908442955,2.0475431690371293
18.750000000000004,2.682364469219466,3.709444194937593,2.7749103397761274
18.850000000000005,2.673300050067336,3.490846770348974,3.5458291782804268
18.950000000000003,2.6823292730048096,3.3897003192159247,4.140106473300296
19.050000000000004,2.6973105733357263,3.468369785132875,4.355818316991952
19.150000000000006,2.7020187173377868,3.739137131716862,4.152033635372935
19.250000000000004,2.6876597805979974,4.14702664913173,3.6997142493184767
19.350000000000005,2.6604612875304463,4.59920279530912,3.271188713473015
19.450000000000003,2.6405322719907534,5.01225009780098,3.0577932006701185
19.550000000000004,2.6527265987072157,5.344965958194521,3.0750916984687167
19.650000000000006,2.7132795331814807,5.594570233766808,3.219200605395229
19.750000000000004,2.8196134711574135,5.776874207348783,3.3774578442869063
19.850000000000005,2.949122318341778,5.90732267670728,3.4903656844978364
19.950000000000003,3.070511285410835,5.996838935807776,3.5529033204333738
